Book Title,Book Price,Quantity Sold,Average Buyer's Age,Customer Rating,Genre,Publication Year
"Mindset: The New Psychology of Success",12.75,45,27,4.7,Education,2006
"The Montessori Method",11.25,98,35,4.4,Education,1912
"Teach Like a Champion",16.99,35,29,4.5,Education,2010
"The First Days of School",19.95,25,41,4.7,Education,2009
"The Book Whisperer",13.49,75,38,4.6,Education,2009
"The End of Molasses Classes",17.99,25,33,4.4,Education,2011
"Rethinking Homework",18.75,95,40,4.6,Education,2006
"The Knowledge Gap",17.49,85,31,4.7,Education,2019
"The Writing Revolution",19.99,65,43,4.5,Education,2017
"The Ethics of Teaching",21.95,25,42,4.3,Education,2013
"Teaching with Poverty in Mind",19.75,85,30,4.7,Education,2015
"The Book of Learning and Forgetting",15.99,95,36,4.5,Education,1998
"Disrupting Thinking",16.49,75,41,4.4,Education,2017
Fifty Shades of Grey,125000,50,29,4.0,Romance,2011
The War of the Worlds,170000,55,29,4.6,Science Fiction,1898
A Game of Thrones,185000,60,30,4.8,Young Adult Fiction,1996
"Making Thinking Visible",23.95,15,38,4.6,Education,2011
"Learner-Centered Teaching",22.95,95,45,4.4,Education,2011
